Cell,COSMICnum,TCGALabel
WM278,1240226,SKCM
WM35,1299080,SKCM
WM793B,1299081,SKCM
8305C,906795,THCA
8505C,924102,THCA
ASH-3,1290722,THCA
BCPAP,924104,THCA
BHT-101,906696,THCA
CAL-62,906828,THCA
CGTH-W-1,910568,THCA
FTC-133,906864,THCA
HTC-C3,924151,THCA
IHH-4,1240154,THCA
K5,924238,THCA
ML-1,1240178,THCA
RO82-W-1,930083,THCA
TT,930299,THCA
TT2609-C02,1240223,THCA
5637,687452,BLCA
639-V,906798,BLCA
647-V,906797,BLCA
BFTC-905,910926,BLCA
CAL-29,1290730,BLCA
DSH1,753552,BLCA
HT-1197,907065,BLCA
HT-1376,907066,BLCA
J82,753566,BLCA
KU-19-19,907312,BLCA
LB831-BLC,753584,BLCA
RT-112,909704,BLCA
RT4,687455,BLCA
SW1710,909749,BLCA
SW780,687457,BLCA
T-24,724812,BLCA
TCCSUP,687459,BLCA
UM-UC-3,724838,BLCA
VM-CUB-1,909780,BLCA
C-33-A,687505,CESC
C-4-I,687506,CESC
CAL-39,924107,CESC
Ca-Ski,906824,CESC
DoTc2-4510,906843,CESC
HeLa,1298134,CESC
HT-3,907068,CESC
ME-180,687514,CESC
MS751,1240179,CESC
SiHa,930297,CESC
SISO,1240212,CESC
SKG-IIIa,930298,CESC
SW756,724839,CESC
AN3-CA,910781,UCEC
COLO-684,910691,UCEC
EN,1240127,UCEC
HEC-1,907051,UCEC
KLE,924187,UCEC
MFE-280,908129,UCEC
MFE-296,908130,UCEC
MFE-319,1240174,UCEC
SNG-M,909735,UCEC
A2780,906804,UNABLE TO CLASSIFY
Caov-4,949090,OV
EFO-21,911905,OV
FU-OV-1,1240129,OV
IGROV-1,905968,OV
JHOS-2,1479995,OV
JHOS-3,1480358,OV
JHOS-4,1480359,OV
KURAMOCHI,909975,UNABLE TO CLASSIFY
OAW-28,946360,OV
OAW-42,910548,OV
OC-314,909257,OV
OV-17R,1480361,OV
OV-56,1480362,OV
OV-7,1480360,OV
OV-90,1240197,OV
OVCA420,1480364,OV
OVCAR-3,905933,OV
OVCAR-4,905990,OV
OVCAR-5,905969,OV
OVCAR-8,905991,OV
OVISE,1240198,OV
OVK-18,1480371,OV
OVKATE,1240199,OV
OVMIU,1240200,OV
OVTOKO,1298365,OV
PEO1,1480372,OV
SK-OV-3,905959,OV
SW626,909753,OV
TOV-112D,1299070,OV
TOV-21G,1240222,OV
TYK-nu,909774,UNABLE TO CLASSIFY
UWB1.289,1480374,OV
22RV1,924100,PRAD
DU-145,905935,PRAD
LNCaP-Clone-FGC,907788,PRAD
PC-3,905934,PRAD
PWR-1E,1330993,PRAD
VCaP,1299075,PRAD
DMS-79,753551,SCLC
CMK,910566,LAML
NB-4,1323913,LAML
BC-3,910918,DLBC
HT,907063,DLBC
JM1,1327768,DLBC
DIFI,1789883,COAD/READ
NCI-H508,908442,COAD/READ
SNU-283,1659929,COAD/READ
SW620,905962,COAD/READ
JHH-2,1240157,LIHC
JHH-4,1240158,LIHC
RCC-JF,1524415,KIRC
SW156,1240220,KIRC
HOP-62,905972,LUAD
NCI-H1437,687794,LUAD
PC-3 [JPC-3],1240202,LUAD
NCI-H740,1331055,SCLC
COR-L95,1297439,SCLC
HCC-33,1303901,SCLC
NCI-H128,753597,SCLC
NCI-H1304,753599,SCLC
NCI-H2081,908480,SCLC
NCI-H2171,688015,SCLC
SHP-77,724872,SCLC
SW1271,1299062,SCLC
D-423MG,946372,GBM
KP-N-RT-BM-1,924189,NB
KP-N-YS,946363,NB
MC-IXC,908118,NB
COLO-783,1240125,SKCM
CP67-MEL,949092,SKCM
KMH-2,1298167,THCA
OMC-1,949154,CESC
Caov-3,906825,OV
DOV13,1479987,OV
Hey,1479988,OV
JHU-029,1298156,HNSC
SCC90,1299052,HNSC
MOLM-16,1330948,LAML
OCI-LY7,1659819,DLBC
KMS-11,1659817,MM
JIMT-1,1298157,BRCA
CL-34,1290771,COAD/READ
VMRC-LCD,713869,LUAD
K2,1298160,SKCM
MY-M12,1330960,ALL
TALL-1,909762,ALL
MDA-MB-175-VII,908120,BRCA
YMB-1-E,1303911,BRCA
VMRC-RCW,1240224,KIRC
RERF-LC-FM,930081,SCLC
D-245MG,946366,GBM
Hs939-T,1298144,SKCM
VMRC-MELG,930301,SKCM
OVCA433,1480367,OV
TMK-1,1299069,STAD
KP-2,1298218,PAAD
KO52,1330932,LAML
SC-1,1331030,DLBC
